Draw Date,Main_Numbers,Bonus,Jackpot,Winners
,"[11, 15, 21, 48, 50, 55]",23,623.0,1
,"[9, 16, 19, 21, 47, 52]",1,446.0,2
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[1, 7, 22, 26, 31, 52]",49,464.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,4
,"[18, 22, 34, 45, 53, 58]",5,460.0,2
,"[3, 12, 27, 29, 36, 44]",42,2.0,3
,"[8, 10, 13, 23, 55, 59]",28,549.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,16
,"[8, 21, 34, 36, 48, 56]",33,396.0,4
,"[9, 16, 25, 40, 43, 56]",17,953.0,1
,"[1, 4, 29, 30, 37, 42]",11,678.0,2
,"[3, 13, 15, 30, 51, 56]",5,100.0,2
,"[8, 15, 27, 38, 49, 58]",3,865.0,0
,"[1, 3, 14, 29, 30, 45]",19,730.0,10
,"[1, 11, 25, 37, 46, 53]",29,78.0,0
,"[10, 22, 45, 51, 54, 56]",43,302.0,1
,"[12, 20, 25, 36, 42, 44]",22,486.0,2
,"[32, 40, 43, 47, 49, 53]",52,456.0,2
,"[13, 14, 18, 29, 46, 59]",19,241.0,1
,"[8, 11, 13, 14, 36, 53]",23,822.0,2
,"[10, 16, 22, 25, 28, 38]",50,236.0,2
,"[3, 12, 27, 29, 36, 44]",42,4.0,6
,"[12, 17, 38, 44, 56, 58]",50,842.0,2
,"[22, 35, 39, 49, 53, 57]",20,320.0,5
,"[6, 10, 26, 42, 52, 56]",41,175.0,5
,"[2, 23, 31, 32, 34, 35]",28,198.0,6
,"[19, 28, 34, 40, 47, 59]",27,984.0,2
,"[20, 22, 39, 41, 43, 44]",18,826.0,46
,"[4, 15, 32, 34, 44, 50]",52,955.0,7
,"[10, 14, 20, 21, 29, 35]",23,79.0,3
,"[8, 15, 27, 38, 49, 58]",3,538.0,2
,"[3, 23, 24, 27, 49, 51]",2,765.0,5
,"[11, 29, 30, 45, 49, 56]",50,498.0,0
,"[2, 13, 15, 18, 35, 42]",27,785.0,1
,"[14, 21, 27, 35, 48, 54]",3,164.0,2
,"[3, 4, 28, 45, 52, 59]",44,918.0,3
,"[5, 6, 7, 12, 27, 49]",55,783.0,0
,"[16, 25, 29, 31, 34, 41]",3,320.0,4
,"[4, 5, 13, 38, 51, 54]",40,88.0,2
,"[6, 21, 24, 25, 26, 35]",7,480.0,5
,"[2, 17, 34, 35, 36, 58]",15,312.0,3
,"[4, 12, 27, 44, 47, 51]",43,390.0,5
,"[15, 22, 24, 34, 47, 48]",37,720.0,8
,"[3, 12, 27, 29, 36, 44]",42,0.0,8
,"[22, 37, 46, 53, 56, 57]",25,725.0,1
,"[8, 12, 17, 22, 37, 44]",33,85.0,5
,"[9, 21, 34, 39, 50, 52]",32,742.0,6
,"[29, 39, 44, 46, 50, 57]",38,387.0,1
,"[1, 6, 7, 44, 45, 49]",51,226.0,6
,"[16, 21, 24, 42, 53, 56]",33,214.0,2
,"[13, 15, 25, 30, 34, 39]",56,606.0,1
,"[15, 24, 30, 31, 38, 44]",34,713.0,1
,"[5, 16, 17, 23, 28, 58]",57,796.0,4
,"[2, 20, 24, 30, 45, 53]",50,788.0,2
,"[22, 39, 40, 42, 46, 52]",44,588.0,3
,"[22, 31, 34, 45, 54, 59]",57,717.0,3
,"[1, 8, 17, 19, 29, 44]",33,472.0,0
